knowledge_id,content,semantic_embedding,domain_id,source_type,acquisition_timestamp,initial_character_id,initial_strength,complexity_score,concept
#AF0502,Happy to continue—or wrap for now.,,#AE0001,system,2025-08-16 06:41:09.319147+00,#700002,70,10,closure
#AF0503,Call me back when you're ready to scheme again.,,#AE0001,system,2025-08-16 06:41:09.319147+00,#700002,70,20,closure
#AF0106,Hey there! How's your day been?,,#AE0001,system,2025-08-16 07:10:34.480305+00,#700002,80,15,greeting
#AF0107,Hi! What's going on with you?,,#AE0001,system,2025-08-16 07:10:34.480305+00,#700002,80,15,greeting
#AF0108,Hey! What do you want to chat about?,,#AE0001,system,2025-08-16 07:10:34.480305+00,#700002,80,15,greeting
#AF0109,Hiya! How's life treating you?,,#AE0001,system,2025-08-16 07:10:34.480305+00,#700002,80,15,greeting
#AF0110,"Hey, what's happening in your world?",,#AE0001,system,2025-08-16 07:10:34.480305+00,#700002,80,15,greeting
#AF0111,Hi there! What's keeping you busy?,,#AE0001,system,2025-08-16 07:10:34.480305+00,#700002,80,15,greeting
#AF0112,Hey! How are things unfolding for you?,,#AE0001,system,2025-08-16 07:10:34.480305+00,#700002,80,15,greeting
#AF0113,What's been on your mind lately?,,#AE0001,system,2025-08-16 07:10:34.480305+00,#700002,80,15,greeting
#AF0114,"Hey, how are things shaping up?",,#AE0001,system,2025-08-16 07:10:34.480305+00,#700002,80,15,greeting
#AF0115,Hey hey! How's it going?,,#AE0001,system,2025-08-16 07:10:34.480305+00,#700002,80,15,greeting
#AF0304,What else is on your mind?,,#AE0001,system,2025-08-16 07:15:08.514613+00,#700002,75,20,ask_back
#AF0305,Tell me more about that.,,#AE0001,system,2025-08-16 07:15:08.514613+00,#700002,75,20,ask_back
#AF0306,What would you like to explore?,,#AE0001,system,2025-08-16 07:15:08.514613+00,#700002,75,20,ask_back
#AF0307,Anything else you'd like to discuss?,,#AE0001,system,2025-08-16 07:15:08.514613+00,#700002,75,20,ask_back
#AF0308,What are you thinking about?,,#AE0001,system,2025-08-16 07:15:08.514613+00,#700002,75,20,ask_back
#AF0204,That's interesting.,,#AE0001,system,2025-08-16 07:15:32.367039+00,#700002,70,10,backchannel
#AF0205,Tell me more.,,#AE0001,system,2025-08-16 07:15:32.367039+00,#700002,70,10,backchannel
#AF0206,I hear you.,,#AE0001,system,2025-08-16 07:15:32.367039+00,#700002,70,10,backchannel
#AF0207,"Right, right.",,#AE0001,system,2025-08-16 07:15:32.367039+00,#700002,70,10,backchannel
#AF0208,Mm-hmm.,,#AE0001,system,2025-08-16 07:15:32.367039+00,#700002,70,10,backchannel
#600001,Tanuki are supernatural shape-shifting raccoon dogs in Japanese mythology,,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,What are Tanuki in Japanese mythology?
#600002,"Shapeshifting is the Tanuki's primary supernatural power, an art in which they are considered unparalleled among yōkai. The saying goes ""The fox has seven disguises, the Tanuki has eight.""",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,What is shapeshifting in Tanuki mytholog
#600003,"Tanuki-bayashi is mysterious festival music that seems to emanate from deep within the woods at night, described as ""pom poko"" or ""ponpon,"" created by Tanuki drumming on their bellies or scrotums.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,What is Tanuki-bayashi?
#600004,"The kintama is the Tanuki's enormous magical scrotum, meaning both ""testicles"" and ""golden balls."" It's used as a versatile tool - weapon, fishing net, boat, umbrella, or blanket - and symbolizes financial luck.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,What is the kintama?
#600005,"The three most famous Tanuki are Danzaburou-danuki of Sado Island, Shibaemon-Tanuki of Awaji Island, and Yashima no Hage-Tanuki of Shikoku - each supreme commanders with legendary transformation skills.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,Who are the three legendary Tanuki?
#600006,"Tanuki and kitsune are Japan's shapeshifting rivals. While kitsune transform for serious purposes like revenge, Tanuki do so for fun, food, and pranks. Tanuki are superior tricksters but more jovial and bumbling.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,How do Tanuki compare to kitsune?
#600007,"A tale where a grateful Tanuki transforms into a tea kettle to repay a kind man's rescue. When heated, the kettle screams and runs away, then helps the man get rich by performing acrobatic shows.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,What is Bunbuku Chagama?
#600008,"Ceramic Tanuki statues representing the ""Eight Aspects of Good Fortune"" - straw hat (protection), big eyes (perception), sake bottle (virtue), big tail (strength), friendly smile (good business).",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,What are Shigaraki statues?
#600009,"Tanuki often place a leaf on their head to initiate shapeshifting. They can become animals, humans, or inanimate objects like stones and teapots, though their disguises may have flaws.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,How do Tanuki initiate transformations?
#600010,"The great Tanuki war between Kinchō-Tanuki and Rokuemon-Tanuki, with armies of over 600 Tanuki battling for three days and nights across the Katsuura River over a refused marriage proposal.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,What was the Awa Tanuki Gassen?
#600011,"Tanuki are jovial, mischievous, playful, and hedonistic, driven by love of sake, food, and fun. They're also gullible and absent-minded, with pranks aimed at amusement rather than harm.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,What is the Tanuki personality?
#600012,"Tanuki evolved from sinister wilderness spirits that haunted humans to beloved icons of good fortune during the Edo period (1603-1868), reflecting changing Japanese cultural attitudes.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,How did Tanuki image evolve over time?
#600013,"Beyond shapeshifting, Tanuki can make pebbles appear as gold to cheat merchants, conjure phantom sounds and events, and create elaborate illusions to disorient travelers.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,What illusion abilities do Tanuki have?
#600014,Kamakura-era goldsmiths used Tanuki scrotum skin to hammer gold leaf because it was exceptionally strong and pliable - able to stretch gold to the size of eight tatami mats.,,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,What is the origin of the kintama legend
#600015,"From Studio Ghibli's Pom Poko to Nintendo's Tanooki Suit in Mario games, and Tom Nook in Animal Crossing - Tanuki appear as shapeshifters connected to commerce and mischief.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,How are Tanuki represented in modern med
#600016,"The supreme commander of Sado Island Tanuki, master of financial illusions who defended the island from kitsune. He once tricked a fox into becoming his sandal, then tossed it into the sea.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,What happened to Danzaburou-danuki?
#600017,"Henge is the formal term for the Tanuki's shapeshifting ability, their primary and most celebrated power that makes them superior to even kitsune in transformation skills.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,What is henge in Tanuki mythology?
#600018,"After his wife was killed in a disguise contest and he died trying to honor her memory at a theater, the theater's business suffered until they deified him as patron of entertainment.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,How did Shibaemon-Tanuki become a deity?
#600019,"Tanuki are associated with promissory notes, financial luck, and commerce. The kintama is called ""money bags"" and Shigaraki statues symbolize business prosperity and good fortune.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,What are Tanuki's connection to money an
#600020,"The earliest reference appears in the Nihon Shoki (Chronicles of Japan) from 720 AD, noting that Tanuki could ""turn into humans and sing songs.""",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,When was the first Tanuki reference in l
#600021,"Their kintama serves as drum, weapon, fishing net, boat, umbrella, raincoat, or blanket - making them symbols of versatility, adaptability, and boundless imagination in Japanese folklore.",,#C133B7,aok_migration,2025-11-06 04:57:26.677542+00,#700002,1,0.5,What makes Tanuki the ultimate utility c
#AF1006,"Q: Is Arceus described in series lore as the creator of the Pokémon universe?
A: Yes
Arceus is presented as the primordial creator in Sinnoh mythology.",,#AE0002,pokemon_qa,2025-11-06 05:15:20.682318+00,#700002,1,0.5,lore.mythology
#AF1007,"Q: Are Ghost-type moves normally effective against Normal-type Pokémon?
A: No
Normal types are immune to Ghost damage unless an effect removes the immunity.",,#AE0002,pokemon_qa,2025-11-06 05:15:20.682318+00,#700002,1,0.5,lore.type_immunity
#AF1008,"Q: Do Fairy-type attacks deal super effective damage to Dragon-type Pokémon?
A: Yes
Fairy was introduced to check Dragon and hits it super effectively.",,#AE0002,pokemon_qa,2025-11-06 05:15:20.682318+00,#700002,1,0.5,lore.type_chart
#AF1009,"Q: Does STAB (Same-Type Attack Bonus) boost a move that matches the user's type?
A: Yes
STAB increases power when move type equals one of the user's types.",,#AE0002,pokemon_qa,2025-11-06 05:15:20.682318+00,#700002,1,0.5,lore.stab
#AF100A,"Q: Do critical hits deal less damage than normal hits in core games?
A: No
Criticals increase damage (multiplier varies by generation).",,#AE0002,pokemon_qa,2025-11-06 05:15:20.682318+00,#700002,1,0.5,lore.crit
#AF100B,"Q: Can a Burn reduce a Pokémon's Attack stat in addition to causing chip damage?
A: Yes
Burn halves Attack for most physical users and inflicts HP loss each turn.",,#AE0002,pokemon_qa,2025-11-06 05:15:20.682318+00,#700002,1,0.5,lore.status
#AF100C,"Q: Are Electric-type moves super effective against Ground-type Pokémon?
A: No
Ground is immune to Electric, not weak to it.",,#AE0002,pokemon_qa,2025-11-06 05:15:20.682318+00,#700002,1,0.5,lore.type_chart
#AF100D,"Q: Can Ditto breed with many species to produce eggs (excluding Undiscovered group)?
A: Yes
Ditto pairs with most breedable species, enabling flexible breeding.",,#AE0002,pokemon_qa,2025-11-06 05:15:20.682318+00,#700002,1,0.5,lore.breeding
#AF100E,"Q: Do Legendary Pokémon commonly breed in the Day Care/Nursery?
A: No
Legendaries are typically in the Undiscovered egg group and cannot breed.",,#AE0002,pokemon_qa,2025-11-06 05:15:20.682318+00,#700002,1,0.5,lore.breeding_rules
#AF100F,"Q: Does the Master Ball guarantee a successful capture when used correctly?
A: Yes
Master Ball has a perfect catch rate on a valid target.",,#AE0002,pokemon_qa,2025-11-06 05:15:20.682318+00,#700002,1,0.5,lore.capture
#AF1010,"Q: Are Ultra Balls weaker than standard Poké Balls?
A: No
Ultra Balls have a higher catch-rate modifier than Poké Balls.",,#AE0002,pokemon_qa,2025-11-06 05:16:03.209706+00,#700002,1,0.5,lore.items
#AF1011,"Q: Do Choice items (Band/Specs/Scarf) boost a stat without any drawback?
A: No
They lock the user into the first chosen move that battle.",,#AE0002,pokemon_qa,2025-11-06 05:16:03.209706+00,#700002,1,0.5,lore.held_items
#AF1012,"Q: Can a Pokémon's Nature change when it evolves (without mints/mechanics outside evolution)?
A: No
Evolution preserves Nature; it doesn't change on its own.",,#AE0002,pokemon_qa,2025-11-06 05:16:03.209706+00,#700002,1,0.5,lore.evolution
#AF1013,"Q: Is Phione able to evolve into Manaphy in mainline games?
A: No
Phione and Manaphy are distinct; Phione does not evolve.",,#AE0002,pokemon_qa,2025-11-06 05:16:03.209706+00,#700002,1,0.5,lore.mythical_rules
#AF1014,"Q: Do Normal-type moves damage Ghost-type Pokémon under standard conditions?
A: No
Ghost is immune to Normal unless an effect like Foresight/Odor Sleuth applies (older gens).",,#AE0002,pokemon_qa,2025-11-06 05:16:03.209706+00,#700002,1,0.5,lore.type_immunity
#AF1015,"Q: Are Egg Moves learned through breeding rather than normal level-up?
A: Yes
Egg Moves are inherited from compatible parents.",,#AE0002,pokemon_qa,2025-11-06 05:16:03.209706+00,#700002,1,0.5,lore.egg_moves
#AF1016,"Q: Does the Destiny Knot increase the number of IVs passed down to offspring?
A: Yes
With Destiny Knot, more IVs are inherited from the parents.",,#AE0002,pokemon_qa,2025-11-06 05:16:03.209706+00,#700002,1,0.5,lore.breeding_items
#AF1017,"Q: Can Evolution Stones trigger certain species' evolutions?
A: Yes
Fire/Water/Thunder/etc. Stones evolve specific species.",,#AE0002,pokemon_qa,2025-11-06 05:16:03.209706+00,#700002,1,0.5,lore.evolution_items
#AF1018,"Q: Are Shiny Pokémon inherently stronger than their non-Shiny counterparts?
A: No
Shininess is cosmetic; stats depend on IVs/EVs/Nature/etc.",,#AE0002,pokemon_qa,2025-11-06 05:16:03.209706+00,#700002,1,0.5,lore.shiny
#AF1019,"Q: Is Speed the only factor that can decide which Pokémon moves first?
A: No
Priority, items (e.g., Lagging Tail), abilities, and Trick Room impact order.",,#AE0002,pokemon_qa,2025-11-06 05:16:03.209706+00,#700002,1,0.5,lore.turn_order
#AF101A,"Q: Do Gym Leaders typically specialize in a single elemental type?
A: Yes
Gyms center on one type to teach matchup fundamentals.",,#AE0002,pokemon_qa,2025-11-06 05:16:45.617834+00,#700002,1,0.5,lore.gyms
#AF101B,"Q: Is Team Rocket portrayed as a benevolent rescue group for Pokémon?
A: No
They are a criminal organization exploiting Pokémon.",,#AE0002,pokemon_qa,2025-11-06 05:16:45.617834+00,#700002,1,0.5,lore.antagonists
#AF101C,"Q: Are the Lake Guardians (Uxie, Mesprit, Azelf) central to Sinnoh's lore?
A: Yes
They embody knowledge, emotion, and willpower in Sinnoh myth.",,#AE0002,pokemon_qa,2025-11-06 05:16:45.617834+00,#700002,1,0.5,lore.regional_myth
#AF101D,"Q: Can Flying-type Pokémon be hit by Ground moves under normal conditions?
A: No
Flying types are immune to Ground unless grounded by effects.",,#AE0002,pokemon_qa,2025-11-06 05:16:45.617834+00,#700002,1,0.5,lore.type_immunity
#AF101E,"Q: Is Pikachu officially the franchise mascot within the fiction as well as marketing?
A: Yes
Pikachu is iconic in-universe and the face of the brand.",,#AE0002,pokemon_qa,2025-11-06 05:16:45.617834+00,#700002,1,0.5,lore.iconography
#AF101F,"Q: Was Pokémon created by Satoshi Tajiri and developed at Game Freak?
A: Yes
Tajiri founded Game Freak; Pokémon originated there.",,#AE0002,pokemon_qa,2025-11-06 05:16:45.617834+00,#700002,1,0.5,real_world.creators
#AF1020,"Q: Did Tajiri's childhood interest in bug collecting inspire the game concept?
A: Yes
His insect-collecting hobby informed the catch-and-trade idea.",,#AE0002,pokemon_qa,2025-11-06 05:16:45.617834+00,#700002,1,0.5,real_world.inspiration
#AF1021,"Q: Were the first Pokémon games released in Japan in 1996 for the Game Boy?
A: Yes
Red & Green debuted in Japan in 1996 on Game Boy.",,#AE0002,pokemon_qa,2025-11-06 05:16:45.617834+00,#700002,1,0.5,real_world.release_history
#AF1022,"Q: Was the project's early working title ""Capsule Monsters"" before becoming ""Pocket Monsters""?
A: Yes
Trademark issues led to the Pocket Monsters/Pokémon name.",,#AE0002,pokemon_qa,2025-11-06 05:16:45.617834+00,#700002,1,0.5,real_world.naming
#AF1023,"Q: Did the Game Boy link cable concept help shape Pokémon's trading mechanic?
A: Yes
Link-cable connectivity encouraged trading to complete collections.",,#AE0002,pokemon_qa,2025-11-06 05:16:45.617834+00,#700002,1,0.5,real_world.hardware_influence
#AF1024,"Q: Is Pikachu's status as series mascot largely reinforced by the anime's popularity?
A: Yes
Pikachu's prominence grew with the anime and global marketing.",,#AE0002,pokemon_qa,2025-11-06 05:17:28.045487+00,#700002,1,0.5,real_world.branding
#AF1025,"Q: Did the Pokémon anime first air in Japan in 1997?
A: Yes
The TV series launched the year after the games' debut.",,#AE0002,pokemon_qa,2025-11-06 05:17:28.045487+00,#700002,1,0.5,real_world.anime
#AF1026,"Q: Did The Pokémon Trading Card Game launch in the 1990s, shortly after the video games?
A: Yes
The TCG began in 1996 in Japan, expanding globally soon after.",,#AE0002,pokemon_qa,2025-11-06 05:17:28.045487+00,#700002,1,0.5,real_world.tcg
#AF1027,"Q: Is Nintendo the sole owner of the Pokémon IP without partners?
A: No
The Pokémon Company is a joint venture of Nintendo, Game Freak, and Creatures.",,#AE0002,pokemon_qa,2025-11-06 05:17:28.045487+00,#700002,1,0.5,real_world.business_structure
#AF1028,"Q: Is Pokémon regularly cited among the highest-grossing media franchises worldwide?
A: Yes
Merchandise, games, TCG, and media drive massive lifetime revenue.",,#AE0002,pokemon_qa,2025-11-06 05:17:28.045487+00,#700002,1,0.5,real_world.industry_rank
#AF1029,"Q: Was Pokémon GO developed by Niantic and released in 2016?
A: Yes
Niantic's AR phenomenon launched in 2016 with staggered rollout.",,#AE0002,pokemon_qa,2025-11-06 05:17:28.045487+00,#700002,1,0.5,real_world.pokemon_go
#AF102A,"Q: Did Ash Ketchum (Satoshi) originate as a game character before the anime?
A: No
Ash is an anime protagonist; Red is the original game player-character.",,#AE0002,pokemon_qa,2025-11-06 05:17:28.045487+00,#700002,1,0.5,real_world.media_distinction
#AF102B,"Q: Was Rhydon the first Pokémon designed after Pikachu became popular?
A: No
Rhydon is noted as one of the earliest programmed Pokémon, predating Pikachu's fame.",,#AE0002,pokemon_qa,2025-11-06 05:17:28.045487+00,#700002,1,0.5,real_world.dev_order
#AF102C,"Q: Did the Western releases of Pokémon Red and Blue arrive after the Japanese Red and Green?
A: Yes
Localization brought Red/Blue to the West post-1996.",,#AE0002,pokemon_qa,2025-11-06 05:17:28.045487+00,#700002,1,0.5,real_world.localization
#AF102D,"Q: Did Ken Sugimori serve as a principal illustrator for early Pokémon designs?
A: Yes
Sugimori led character art for the original roster.",,#AE0002,pokemon_qa,2025-11-06 05:17:28.045487+00,#700002,1,0.5,real_world.art_direction
#AF102E,"Q: Is Game Freak a Nintendo-owned internal studio like EPD?
A: No
Game Freak is an independent company; it partners closely with Nintendo.",,#AE0002,pokemon_qa,2025-11-06 05:18:15.339054+00,#700002,1,0.5,real_world.corporate
#AF102F,"Q: Did the anime's Team Rocket trio (Jessie, James, Meowth) originate in the games first?
A: No
They are anime originals; games later referenced/included them.",,#AE0002,pokemon_qa,2025-11-06 05:18:15.339054+00,#700002,1,0.5,real_world.transmedia
#AF1030,"Q: Did the MissingNo. item-duplication glitch become famous from Generation I releases?
A: Yes
A well-known Red/Blue quirk allowing item duplication.",,#AE0002,pokemon_qa,2025-11-06 05:18:15.339054+00,#700002,1,0.5,real_world.glitches
#AF1031,"Q: Has the franchise expanded into movies, manga, live events, and vast merchandise beyond games?
A: Yes
Pokémon is a broad transmedia IP with global merchandise.",,#AE0002,pokemon_qa,2025-11-06 05:18:15.339054+00,#700002,1,0.5,real_world.transmedia_scope
#AF1032,"Q: Was the primary goal of the early games only single-player exploration with no trading emphasis?
A: No
Social trading and battling were core pillars from the start.",,#AE0002,pokemon_qa,2025-11-06 05:18:15.339054+00,#700002,1,0.5,real_world.design_philosophy
#AF1033,"Q: Did Junichi Masuda play key roles as composer and later director/producer for the series?
A: Yes
Masuda shaped Pokémon's music and development leadership.",,#AE0002,pokemon_qa,2025-11-06 05:18:15.339054+00,#700002,1,0.5,real_world.creators_team
#AF1034,"Q: Is Bulbapedia an official Pokémon Company database?
A: No
It's a comprehensive fan-run encyclopedia, not an official site.",,#AE0002,pokemon_qa,2025-11-06 05:18:15.339054+00,#700002,1,0.5,real_world.fan_communities
#AF1035,"Q: Was the Special/Physical split for move categories present from Generation I?
A: No
The split arrived later (Gen IV), altering competitive balance.",,#AE0002,pokemon_qa,2025-11-06 05:18:15.339054+00,#700002,1,0.5,real_world.system_evolution
#AF1036,"Q: Did Ash win a world-level title in the anime decades after his debut?
A: Yes
He became World Champion in the Pokémon World Coronation Series.",,#AE0002,pokemon_qa,2025-11-06 05:18:15.339054+00,#700002,1,0.5,real_world.anime_milestone
#AF1037,"Q: Was Pokémon conceived as a console-first franchise before handhelds?
A: No
It began on the handheld Game Boy and later expanded to consoles.",,#AE0002,pokemon_qa,2025-11-06 05:18:15.339054+00,#700002,1,0.5,real_world.platform_history
#AF0002,"{""question"": ""Which early 1990s band is most credited with defining the sound of True Norwegian Black Metal?"", ""answer"": ""Mayhem."", ""concept"": ""pioneer_band""}",,#AE0101,qa_extraction,2025-11-07 10:26:26.709458+00,#700002,80,30,
#AF0003,"{""question"": ""Who was the guitarist known as Euronymous, central to Mayhem and the early scene?"", ""answer"": ""Øystein Aarseth."", ""concept"": ""key_figure""}",,#AE0101,qa_extraction,2025-11-07 10:26:26.709458+00,#700002,80,30,
#AF0004,"{""question"": ""What 1994 album by Darkthrone is considered a cornerstone of the genre?"", ""answer"": ""Transilvanian Hunger."", ""concept"": ""seminal_album""}",,#AE0101,qa_extraction,2025-11-07 10:26:26.709458+00,#700002,70,40,
#AF0005,"{""question"": ""Which member of Burzum was convicted of murdering Euronymous?"", ""answer"": ""Varg Vikernes."", ""concept"": ""scene_crime""}",,#AE0101,qa_extraction,2025-11-07 10:26:26.709458+00,#700002,70,40,
#AF0006,"{""question"": ""What type of imagery and recording style typify True Norwegian Black Metal?"", ""answer"": ""Lo-fi production, corpse paint, and raw, atmospheric sound."", ""concept"": ""aesthetic_style""}",,#AE0101,qa_extraction,2025-11-07 10:27:23.895725+00,#700002,80,40,
#AF0007,"{""question"": ""What was the name of the record shop founded by Euronymous that became a hub for the scene?"", ""answer"": ""Helvete."", ""concept"": ""scene_hub""}",,#AE0101,qa_extraction,2025-11-07 10:27:23.895725+00,#700002,70,30,
#AF0008,"{""question"": ""Which town in Norway housed the infamous Black Circle of musicians?"", ""answer"": ""Oslo."", ""concept"": ""geographic_center""}",,#AE0101,qa_extraction,2025-11-07 10:27:23.895725+00,#700002,90,20,
#AF0009,"{""question"": ""Which instrument is most central to the sound of black metal?"", ""answer"": ""Electric guitar with tremolo picking."", ""concept"": ""instrumentation""}",,#AE0101,qa_extraction,2025-11-07 10:27:23.895725+00,#700002,90,20,
#AF000A,"{""question"": ""What lyrical themes commonly appear in True Norwegian Black Metal?"", ""answer"": ""Satanism, anti-Christianity, nature, and Norwegian mythology."", ""concept"": ""lyrical_themes""}",,#AE0101,qa_extraction,2025-11-07 10:27:23.895725+00,#700002,80,40,
#AF000B,"{""question"": ""Which early band incorporated frostbitten imagery and winter landscapes into their identity?"", ""answer"": ""Immortal."", ""concept"": ""visual_identity""}",,#AE0101,qa_extraction,2025-11-07 10:27:23.895725+00,#700002,80,30,
#AF000C,"{""question"": ""What does the second wave of black metal refer to?"", ""answer"": ""The Norwegian movement of the early 1990s that defined the genres modern form."", ""concept"": ""historical_wave""}",,#AE0101,qa_extraction,2025-11-07 10:27:23.895725+00,#700002,70,40,
#AF000D,"{""question"": ""Why were several Norwegian churches burned in the early 1990s?"", ""answer"": ""As anti-Christian acts associated with the black metal movement."", ""concept"": ""church_burnings""}",,#AE0101,qa_extraction,2025-11-07 10:27:23.895725+00,#700002,70,50,
#AF000E,"{""question"": ""What type of vocal style defines True Norwegian Black Metal?"", ""answer"": ""High-pitched, shrieking vocals."", ""concept"": ""vocal_style""}",,#AE0101,qa_extraction,2025-11-07 10:27:23.895725+00,#700002,80,30,
#AF000F,"{""question"": ""What is the name of the Darkthrone member who became synonymous with underground purity?"", ""answer"": ""Fenriz."", ""concept"": ""artist_identity""}",,#AE0101,qa_extraction,2025-11-07 10:27:23.895725+00,#700002,80,30,
#AF0010,"{""question"": ""Which genre directly influenced early Norwegian black metal before it evolved its own sound?"", ""answer"": ""Death metal and thrash metal."", ""concept"": ""genre_influence""}",,#AE0101,qa_extraction,2025-11-07 10:27:23.895725+00,#700002,80,30,
