character_id,knowledge_id,current_retrievability,stability,difficulty,last_review_timestamp,next_review_timestamp,grade_history,acquisition_method,current_expertise_score,is_mastered,is_forgotten
#700002,#AF000E,0.8,2.5,0.2,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF000F,0.8,2.5,0.2,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0010,0.8,2.5,0.2,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0011,0.8,2.5,0.2,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0012,0.8,2.5,0.3,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0013,0.8,2.5,0.2,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0014,0.8,2.5,0.2,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0015,0.8,2.5,0.3,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0016,0.8,2.5,0.3,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0017,0.8,2.5,0.2,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0018,0.8,2.5,0.4,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0019,0.8,2.5,0.3,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
